group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.802,0.842,0.57,0.9,0.699,0.809,0.841,0.917,0.779,0.806,0.931,0.889,0.885,0.786,0.857,0.592,0.813,0.925,0.613,0.804,0.895,0.902,0.842,0.916
Housekeeping_genes,0.261,0.2,0.237,0.282,0.176,0.31,0.234,0.329,0.224,0.254,0.271,0.347,0.255,0.252,0.276,0.135,0.224,0.294,0.146,0.213,0.266,0.314,0.242,0.28
RAD21,0.756,0.797,0.549,0.875,0.651,0.775,0.811,0.885,0.732,0.746,0.903,0.85,0.853,0.722,0.819,0.532,0.763,0.894,0.56,0.767,0.856,0.869,0.802,0.891
TSS,0.704,0.592,0.508,0.693,0.553,0.729,0.659,0.767,0.634,0.659,0.708,0.772,0.693,0.674,0.728,0.492,0.636,0.734,0.495,0.615,0.718,0.758,0.681,0.73
