group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.772,0.566,0.684,0.622,0.727,0.473,0.847,0.807,0.782,0.731,0.868,0.775,0.869,0.52,0.748,0.47,0.762,0.875,0.665,0.879,0.86,0.825,0.72,0.873
Housekeeping_genes,0.27,0.315,0.488,0.469,0.181,0.419,0.317,0.481,0.318,0.524,0.467,0.558,0.399,0.436,0.257,0.114,0.502,0.496,0.279,0.384,0.398,0.495,0.189,0.417
RAD21,0.742,0.562,0.676,0.615,0.685,0.469,0.819,0.795,0.757,0.722,0.857,0.762,0.85,0.511,0.72,0.428,0.751,0.863,0.646,0.856,0.842,0.812,0.683,0.855
TSS,0.836,0.532,0.722,0.634,0.802,0.511,0.893,0.832,0.825,0.736,0.881,0.812,0.898,0.535,0.804,0.563,0.781,0.897,0.69,0.914,0.885,0.848,0.795,0.901
