group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.334,0.269,0.261,0.375,0.273,0.351,0.339,0.375,0.223,0.254,0.377,0.34,0.338,0.257,0.331,0.183,0.27,0.36,0.164,0.294,0.268,0.369,0.28,0.386
Housekeeping_genes,0.138,0.091,0.142,0.136,0.094,0.167,0.113,0.175,0.099,0.118,0.133,0.178,0.128,0.125,0.14,0.081,0.11,0.146,0.071,0.111,0.112,0.17,0.117,0.141
RAD21,0.267,0.206,0.199,0.299,0.223,0.274,0.281,0.292,0.185,0.195,0.311,0.256,0.275,0.199,0.266,0.143,0.213,0.291,0.132,0.237,0.215,0.287,0.227,0.316
TSS,0.517,0.331,0.472,0.518,0.372,0.587,0.448,0.603,0.343,0.449,0.525,0.598,0.491,0.427,0.509,0.325,0.397,0.487,0.255,0.422,0.41,0.587,0.416,0.541
