group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.615,0.719,0.818,1.07,0.638,0.773,0.767,0.889,0.305,0.548,0.917,0.838,0.747,0.407,0.591,0.179,0.699,0.758,0.092,0.743,0.196,0.872,0.412,0.883
Housekeeping_genes,0.54,0.421,1.154,0.937,0.379,0.954,0.411,1.014,0.306,0.785,0.646,1.137,0.598,0.778,0.506,0.237,0.616,0.643,0.204,0.587,0.168,0.951,0.348,0.605
RAD21,0.622,0.595,0.681,1.029,0.672,0.681,0.802,0.798,0.314,0.427,0.915,0.726,0.737,0.325,0.571,0.134,0.623,0.732,0.085,0.714,0.143,0.788,0.4,0.878
TSS,0.543,0.402,1.021,0.864,0.428,0.781,0.52,0.911,0.184,0.719,0.693,0.98,0.626,0.577,0.509,0.26,0.538,0.539,0.068,0.608,0.208,0.859,0.316,0.683
