group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.145,0.043,0.033,0.033,0.19,0.024,0.127,0.066,0.106,0.035,0.075,0.045,0.097,0.023,0.16,0.231,0.042,0.07,0.079,0.093,0.099,0.062,0.22,0.094
Housekeeping_genes,0.19,0.075,0.101,0.089,0.144,0.083,0.16,0.16,0.147,0.09,0.139,0.136,0.152,0.067,0.203,0.097,0.089,0.146,0.092,0.131,0.16,0.149,0.196,0.163
RAD21,0.161,0.05,0.039,0.039,0.205,0.028,0.145,0.077,0.119,0.039,0.088,0.053,0.111,0.026,0.18,0.23,0.048,0.082,0.086,0.106,0.113,0.073,0.243,0.11
TSS,0.089,0.02,0.02,0.017,0.109,0.014,0.069,0.037,0.06,0.019,0.039,0.026,0.052,0.013,0.095,0.141,0.022,0.037,0.044,0.049,0.054,0.035,0.128,0.051
