group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.117,0.033,0.018,0.021,0.136,0.016,0.067,0.05,0.096,0.03,0.058,0.019,0.075,0.018,0.13,0.128,0.037,0.06,0.062,0.078,0.082,0.041,0.172,0.078
Housekeeping_genes,0.147,0.072,0.055,0.057,0.135,0.055,0.119,0.13,0.132,0.076,0.124,0.068,0.138,0.055,0.167,0.086,0.077,0.127,0.079,0.115,0.141,0.112,0.173,0.145
RAD21,0.191,0.074,0.043,0.054,0.218,0.039,0.145,0.12,0.17,0.065,0.139,0.046,0.157,0.038,0.222,0.136,0.08,0.137,0.094,0.152,0.162,0.094,0.271,0.174
SMC3,0.17,0.059,0.034,0.042,0.195,0.031,0.119,0.094,0.148,0.052,0.111,0.037,0.13,0.031,0.195,0.134,0.064,0.111,0.084,0.126,0.136,0.075,0.246,0.142
TSS,0.078,0.018,0.012,0.012,0.086,0.011,0.041,0.032,0.06,0.018,0.034,0.012,0.046,0.012,0.085,0.086,0.021,0.037,0.038,0.047,0.051,0.027,0.112,0.048
