group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.512,0.696,0.736,1.067,0.598,0.608,0.734,0.813,0.271,0.589,0.86,0.731,0.601,0.396,0.503,0.325,0.661,0.643,0.053,0.603,0.182,0.656,0.355,0.789
Housekeeping_genes,0.445,0.368,0.762,0.458,0.315,0.436,0.234,0.685,0.098,0.394,0.362,0.611,0.426,0.478,0.382,0.499,0.138,0.29,-0.059,0.295,0.145,0.544,0.268,0.363
RAD21,0.901,1.217,1.181,1.704,1.036,1.024,1.279,1.24,0.509,0.891,1.415,1.001,0.995,0.576,0.886,0.57,1.093,1.121,0.092,1.011,0.285,0.977,0.639,1.329
SMC3,0.778,0.996,0.975,1.415,0.897,0.865,1.061,1.053,0.388,0.735,1.198,0.889,0.833,0.407,0.741,0.43,0.887,0.917,0.048,0.818,0.199,0.842,0.535,1.119
TSS,0.435,0.508,0.711,0.713,0.418,0.702,0.44,0.759,0.05,0.645,0.501,0.818,0.506,0.4,0.413,0.495,0.374,0.41,-0.01,0.444,0.168,0.667,0.277,0.504
