group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.801,0.548,0.507,0.498,0.806,0.429,0.89,0.765,0.79,0.725,0.852,0.511,0.877,0.489,0.776,0.33,0.788,0.894,0.607,0.896,0.886,0.772,0.779,0.894
Housekeeping_genes,0.262,0.347,0.388,0.399,0.229,0.388,0.442,0.477,0.3,0.515,0.478,0.463,0.415,0.409,0.253,0.135,0.515,0.493,0.265,0.383,0.402,0.505,0.204,0.421
RAD21,0.604,0.521,0.48,0.489,0.576,0.414,0.767,0.711,0.637,0.693,0.766,0.503,0.751,0.496,0.585,0.222,0.729,0.801,0.511,0.742,0.749,0.725,0.541,0.764
SMC3,0.668,0.528,0.499,0.49,0.645,0.431,0.811,0.734,0.685,0.702,0.8,0.517,0.795,0.489,0.645,0.258,0.749,0.837,0.539,0.793,0.797,0.744,0.612,0.81
TSS,0.829,0.508,0.523,0.497,0.841,0.456,0.906,0.765,0.811,0.711,0.84,0.519,0.882,0.488,0.802,0.374,0.799,0.896,0.619,0.915,0.887,0.769,0.815,0.901
