group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.717,0.911,0.439,0.903,0.704,0.77,0.84,0.931,0.768,0.838,0.943,0.903,0.874,0.821,0.781,0.667,0.832,0.927,0.622,0.771,0.884,0.904,0.804,0.903
Housekeeping_genes,0.203,0.217,0.147,0.224,0.175,0.23,0.215,0.291,0.197,0.217,0.255,0.299,0.241,0.225,0.227,0.15,0.192,0.254,0.13,0.187,0.237,0.276,0.217,0.252
RAD21,0.517,0.735,0.376,0.781,0.52,0.617,0.684,0.803,0.557,0.626,0.822,0.76,0.701,0.595,0.59,0.413,0.636,0.778,0.372,0.593,0.672,0.732,0.594,0.768
SMC3,0.555,0.758,0.385,0.784,0.554,0.644,0.711,0.816,0.6,0.654,0.843,0.786,0.732,0.625,0.626,0.467,0.666,0.802,0.415,0.618,0.712,0.757,0.639,0.793
TSS,0.592,0.631,0.393,0.663,0.549,0.667,0.643,0.755,0.599,0.643,0.7,0.754,0.676,0.673,0.631,0.567,0.614,0.714,0.485,0.586,0.686,0.739,0.639,0.694
