,Armatus,Arrowhead,CaTCH,Constrained HAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
0,0.639,0.652,0.697,0.696,0.652,0.672,0.693,0.688,0.712,0.643,0.695,0.663,0.683,0.663,0.690,0.629,0.669,0.730,0.636,0.643,0.684,0.722,0.670,0.652
1,0.707,0.738,0.757,0.766,0.724,0.739,0.759,0.752,0.780,0.710,0.764,0.731,0.750,0.727,0.759,0.683,0.734,0.797,0.709,0.706,0.751,0.791,0.736,0.715
2,0.522,0.510,0.568,0.566,0.542,0.553,0.571,0.566,0.581,0.525,0.571,0.542,0.562,0.547,0.563,0.533,0.551,0.595,0.517,0.531,0.563,0.592,0.556,0.539
