,Armatus,Arrowhead,CaTCH,Constrained HAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
0,0.643,0.637,0.689,0.687,0.645,0.668,0.683,0.679,0.695,0.633,0.685,0.648,0.674,0.657,0.691,0.632,0.653,0.721,0.631,0.627,0.678,0.714,0.659,0.645
1,0.688,0.720,0.751,0.741,0.691,0.720,0.738,0.740,0.767,0.685,0.741,0.699,0.730,0.706,0.752,0.655,0.705,0.795,0.684,0.673,0.736,0.782,0.707,0.701
2,0.618,0.578,0.642,0.639,0.600,0.624,0.641,0.632,0.639,0.590,0.638,0.605,0.628,0.615,0.649,0.604,0.610,0.667,0.584,0.585,0.630,0.662,0.617,0.602
